date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2007-01-22,4140.609863,4140.609863,4140.609863,4140.609863,4140.609863,0,0,0.0,0.0,0.0,"January 22, 07",0.0
2007-01-19,4173.069824,4173.069824,4173.069824,4173.069824,4173.069824,0,0,0.0,0.0,0.0,"January 19, 07",0.0
2007-01-18,4137.310059,4137.310059,4137.310059,4137.310059,4137.310059,0,0,0.0,0.0,0.0,"January 18, 07",0.0
2007-01-17,4146.72998,4146.72998,4146.72998,4146.72998,4146.72998,0,0,0.0,0.0,0.0,"January 17, 07",0.0
2007-01-16,4169.180176,4169.180176,4169.180176,4169.180176,4169.180176,0,0,0.0,0.0,0.0,"January 16, 07",0.0
2007-01-15,4187.359863,4187.359863,4187.359863,4187.359863,4187.359863,0,0,0.0,0.0,0.0,"January 15, 07",0.0
2007-01-12,4174.799805,4174.799805,4174.799805,4174.799805,4174.799805,0,0,0.0,0.0,0.0,"January 12, 07",0.0
2007-01-11,4165.950195,4165.950195,4165.950195,4165.950195,4165.950195,0,0,0.0,0.0,0.0,"January 11, 07",0.0
2007-01-10,4090.879883,4090.879883,4090.879883,4090.879883,4090.879883,0,0,0.0,0.0,0.0,"January 10, 07",0.0
2007-01-09,4129.490234,4129.490234,4129.490234,4129.490234,4129.490234,0,0,0.0,0.0,0.0,"January 09, 07",0.0
2007-01-08,4123.330078,4123.330078,4123.330078,4123.330078,4123.330078,0,0,0.0,0.0,0.0,"January 08, 07",0.0
2007-01-05,4129.350098,4129.350098,4129.350098,4129.350098,4129.350098,0,0,0.0,0.0,0.0,"January 05, 07",0.0
2007-01-04,4177.759766,4177.759766,4177.759766,4177.759766,4177.759766,0,0,0.0,0.0,0.0,"January 04, 07",0.0
2007-01-03,4188.240234,4188.240234,4188.240234,4188.240234,4188.240234,0,0,0.0,0.0,0.0,"January 03, 07",0.0
2006-12-29,4119.939941,4119.939941,4119.939941,4119.939941,4119.939941,0,0,0.0,0.0,0.0,"December 29, 06",0.0
2006-12-28,4130.660156,4130.660156,4130.660156,4130.660156,4130.660156,0,0,0.0,0.0,0.0,"December 28, 06",0.0
2006-12-27,4134.859863,4134.859863,4134.859863,4134.859863,4134.859863,0,0,0.0,0.0,0.0,"December 27, 06",0.0
2006-12-22,4073.5,4073.5,4073.5,4073.5,4073.5,0,0,0.0,0.0,0.0,"December 22, 06",0.0
2006-12-21,4112.100098,4112.100098,4112.100098,4112.100098,4112.100098,0,0,0.0,0.0,0.0,"December 21, 06",0.0
2006-12-20,4118.540039,4118.540039,4118.540039,4118.540039,4118.540039,0,0,0.0,0.0,0.0,"December 20, 06",0.0
2006-12-19,4100.47998,4100.47998,4100.47998,4100.47998,4100.47998,0,0,0.0,0.0,0.0,"December 19, 06",0.0
2006-12-18,4130.060059,4130.060059,4130.060059,4130.060059,4130.060059,0,0,0.0,0.0,0.0,"December 18, 06",0.0
2006-12-15,4140.660156,4140.660156,4140.660156,4140.660156,4140.660156,0,0,0.0,0.0,0.0,"December 15, 06",0.0
2006-12-14,4118.839844,4118.839844,4118.839844,4118.839844,4118.839844,0,0,0.0,0.0,0.0,"December 14, 06",0.0
2006-12-13,4094.330078,4094.330078,4094.330078,4094.330078,4094.330078,0,0,0.0,0.0,0.0,"December 13, 06",0.0
2006-12-12,4059.73999,4059.73999,4059.73999,4059.73999,4059.73999,0,0,0.0,0.0,0.0,"December 12, 06",0.0
2006-12-11,4052.899902,4052.899902,4052.899902,4052.899902,4052.899902,0,0,0.0,0.0,0.0,"December 11, 06",0.0
2006-12-08,4019.889893,4019.889893,4019.889893,4019.889893,4019.889893,0,0,0.0,0.0,0.0,"December 08, 06",0.0
